Long,Lat
-59.8800,-52.6347
-55.0000,-53.7453
-52.5000,-53.7500
-50.0000,-53.7489
-47.5000,-53.7500
-45.0000,-53.7575
-42.5000,-53.7500
-40.0000,-53.7514
-37.2642,-54.8792
