Name,Lat,Long
SassiMoorings,-72.031,-18.62722
Halley,-75.46722,-26.91694
SR4bottom,-68.41325555555557,-29.313119444444453
NorthPeninsula,-63.03138888888889,-50.94
FilchnerRonneIceShelf,-77.773,-40.859
